Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
24;1;0;3;2;1500;1;1; ; ; 
22;1;0;2;2; ;1;1; ; ;-3.33188966334777
18;1;0;1;2; ;2;2; ; ; 
20;1;0;1;2; ;2;2;-.563534401764416;-.361498059843815;.84111180717574
28;1;1;3;2;1250;1;1;-1.19158652434326;-.437732149873522;1.08661216412382
33;1;2;2;1;9000;2;2;2.10009268950499;.904444759941489; 
25;1;2;3;2;3500;2;2;1.41037623978622;-.14704714240144;-1.35347029186385
31;1;1;2;1;2500;2;1;.394614470591776;.761992955663711;-1.09415485253871
25;1;1;1;2;1500;2;2;-1.15270575752743;-1.08597197694734; 
24;1;1;2;1; ;2;2; ; ; 
27;1;0;3;1;400;1;2; ; ;-1.35420546794294
25;1;1;3;1;2500;2;1; ; ; 
29;1;2;2;2;2500; ;1;.778295239369978;.783508201491428;-1.24133604048166
 ;1;0;3;2;1300;1;1; ; ;.519506201109034
30;1;0;2;1;1500;2;2;-.05681099919608;.787573976205631;.0951176945311742
22;1;1;3;1;1000;2;2; ; ; 
28;1;0;3;2;1000;2;2; ; ; 
24;1;0;3;2;1200;2;1;-.234208455152556;-.862597513105966;-.163709381648675
27;1;1;3;1;850;2;1;-1.16025519187326;-1.5022996512672;.0636085416822902
19;1;0;3;2;1000;1;1; ; ;-.729959857457757
18;1;0;1;2; ;2;1; ; ;-1.49236338897548
24;1;1;3;1;2000;1;2;-.210934525022964;.106164419735604;.838307257181152
36;1;2;2;1;5000;2;1;1.19421834333629;1.35546096331615;-1.3392178125381
25;1;2;3;1;5000;1;2;-.847875377943611;-1.1141444874087;.450056277706539
 ;1;0; ;1; ;2;1; ; ; 
26;1;1;1;1; ;2;2;.902836988811058;.628289196352293;-.575561043446798
25;1;1;2;1;5000;2;2; ; ; 
36;1;2;2;1;10000;2;2;-1.2728835048005;-.693405942684391;.10266232431521
28;1;1;1;1;5000;2;2; ; ;-.301612600700213
27;1;2;3;1; ;1;1; ; ; 
33;1;2;3;1;22000;1;2;-.339790370093702;.219598231808221;-.11342483287363
26;1;1;2;2;3500;2;2;-1.19158652434326;.623478858916726;.2147389444731
20;1;0;3;1;2000;2;1; ; ; 
28;1;0;3;1;460;2;1; ; ; 
19;1;0;3;1;1200;2;1;.0692078014815131;1.01915138911169;-.245107892750894
25;1;0;3;1;1200;2;2;-.235011796796788;.00167315372865702;-.0984101944823443
21;1;1;3;1;1600;2;2; ; ; 
19;1;0;1;2; ;1;2;-.648127832243871;-1.2669239175011;.0883222566451952
27;1;2;1;1;2200;2;2;-.16417683481061;1.27077947845237;-1.31298008289925
19;1;0;2;2;800;2;2; ;-.0808004929554433;-1.72939324612189
26;2;2;1;1;1500;2;1;.164943169377672;.748398944694596;-.493914106110703
